processed_reviews,sentiment
"['flown', 'ba', 'year', 'read', 'review', 'preparation', 'needle', 'say', 'boarded', 'flight', 'low', 'expectation', 'pleasantly', 'surprised', 'flight', 'ok', 'left', 'lhr', 'minute', 'early', 'arrived', 'jnb', 'ahead', 'schedule', 'cabin', 'crew', 'although', 'good', 'carrier', 'attentive', 'professional', 'onboard', 'catering', 'disappointment', 'unlucky', 'miss', 'chicken', 'given', 'sloppy', 'pasta', 'board', 'entertainment', 'never', 'ba', 'strong', 'point', 'sadly', 'hasnt', 'changed', 'unfortunately', 'ba', 'prestigious', 'carrier', 'bad', 'experience', 'review', 'suggest']",negative
"['dear', 'community', 'feel', 'compelled', 'share', 'utter', 'frustration', 'disappointment', 'defined', 'recent', 'travel', 'experience', 'british', 'airway', 'buckle', 'folk', 'one', 'rollercoaster', 'july', 'displeasure', 'flying', 'british', 'airway', 'ba', 'ba', 'let', 'tell', 'nightmare', 'initial', 'flight', 'zurich', 'zrh', 'london', 'lhr', 'ba', 'faced', 'seemingly', 'unavoidable', 'onehour', 'delay', 'upon', 'arrival', 'lhr', 'course', 'resulted', 'missing', 'connection', 'tokyo', 'triggering', 'automatic', 'rescheduling', 'flight', 'tokyo', 'hnd', 'via', 'beijing', 'air', 'china', 'oh', 'fun', 'didnt', 'stop', 'flight', 'ca', 'also', 'delayed', 'turning', 'hour', 'delay', 'grand', 'total', 'hour', 'finally', 'arriving', 'tokyo', 'instead', 'promised', 'cherry', 'top', 'four', 'checkedin', 'suitcase', 'decided', 'take', 'detour', 'didnt', 'join', 'tokyo', 'forcing', 'waste', 'additional', 'two', 'hour', 'filling', 'form', 'baggage', 'center', 'finally', 'got', 'lost', 'luggage', 'back', 'july', 'make', 'easy', 'right', 'wait', 'there', 'return', 'flight', 'tokyo', 'zurich', 'ba', 'august', 'also', 'danced', 'delay', 'tune', 'making', 'question', 'punctuality', 'myth', 'british', 'airway', 'cumulative', 'impact', 'delay', 'torpedoed', 'vacation', 'plan', 'stealing', 'whole', 'day', 'scheduled', 'activity', 'including', 'guided', 'tokyo', 'tour', 'werent', 'enough', 'dig', 'deeper', 'pocket', 'unforeseen', 'expensesextra', 'airport', 'transfer', 'tour', 'operator', 'assistance', 'fee', 'emergency', 'purchase', 'airport', 'meal', 'international', 'call', 'rearrangement', 'lack', 'assistance', 'lhr', 'airport', 'icing', 'bitter', 'cake', 'installing', 'ba', 'app', 'get', 'basic', 'information', 'alternative', 'connection', 'flight', 'hassle', 'fact', 'ba', 'clerk', 'could', 'provide', 'info', 'person', 'downright', 'infuriating', 'british', 'airway', 'youve', 'left', 'sour', 'taste', 'mouth', 'dent', 'wallet', 'here', 'hoping', 'take', 'feedback', 'seriously', 'step', 'game', 'right', 'good', 'look', 'frustrated', 'fed', 'bert']",negative
"['quick', 'bag', 'drop', 'first', 'wing', 'many', 'passenger', 'use', 'fast', 'track', 'security', 'main', 'terminal', 'direct', 'entry', 'concorde', 'room', 'outside', 'security', 'south', 'ate', 'excellent', 'breakfast', 'served', 'promptly', 'concorde', 'room', 'nice', 'place', 'wait', 'flight', 'interesting', 'memorabilia', 'excellent', 'bar', 'boarding', 'c', 'gate', 'disorganised', 'slow', 'board', 'cabin', 'crew', 'excellent', 'good', 'choice', 'beverage', 'high', 'quality', 'food', 'good', 'seat', 'comfortable', 'first', 'bedding', 'provided', 'time', 'arrival', 'miami', 'baggage', 'took', 'hour', 'arrive']",positive
"['hour', 'takeoff', 'received', 'mail', 'stating', 'cryptic', 'message', 'disruption', 'expected', 'limit', 'many', 'plane', 'leave', 'time', 'capacity', 'heathrow', 'airport', 'really', 'hit', 'british', 'airway', 'surprise', 'h', 'departure', 'anyhow', 'took', 'one', 'hour', 'delay', 'forced', 'check', 'hand', 'luggage', 'travel', 'hand', 'luggage', 'avoid', 'waiting', 'ultra', 'slow', 'processing', 'checked', 'luggage', 'overall', 'h', 'later', 'home', 'planed', 'really', 'reason', 'due', 'incompetent', 'people', 'service', 'level', 'far', 'worse', 'ryanair', 'triple', 'price', 'really', 'never', 'thanks', 'nothing']",negative
"['recently', 'delay', 'british', 'airway', 'bru', 'lhr', 'due', 'staff', 'shortage', 'announced', 'hour', 'holding', 'delay', 'would', 'board', 'u', 'immediately', 'hope', 'clearing', 'gate', 'leaving', 'early', 'wait', 'full', 'hour', 'inside', 'airplane', 'plane', 'old', 'dirty', 'power', 'seat', 'staff', 'provided', 'small', 'bag', 'pretzel', 'ml', 'water', 'passenger', 'hour', 'delay', 'hour', 'flight', 'option', 'purchase', 'food', 'drink', 'entertainment', 'option', 'available', 'oneworld', 'emerald', 'elite', 'member', 'upgrade', 'member', 'based', 'status', 'first', 'class', 'lounge', 'heathrow', 'overcrowded', 'understaffed', 'poorly', 'equipped', 'help', 'desk', 'completely', 'unhelpful', 'error', 'arises', 'delay', 'cancellation', 'even', 'top', 'status', 'avios', 'point', 'system', 'devalued', 'near', 'worthlessness', 'requires', 'fee', 'book', 'reward', 'nearly', 'equal', 'price', 'revenue', 'ticket', 'british', 'lost', 'way', 'recent', 'year', 'moved', 'worldclass', 'airline', 'budget', 'airline', 'much', 'worse', 'service', 'timeliness', 'ryanair', 'easyjet']",negative
"['boarded', 'time', 'took', 'age', 'get', 'runway', 'due', 'congestion', 'flight', 'smooth', 'quick', 'snack', 'drink', 'good', 'short', 'flight', 'landed', 'ten', 'minute', 'late', 'one', 'bag', 'three', 'left', 'london', 'form', 'quickly', 'filled', 'bag', 'delivered', 'next', 'morning']",positive
"['day', 'flight', 'advised', 'ba', 'cancelled', 'asked', 'u', 'rebook', 'flight', 'hour', 'hour', 'original', 'flight', 'made', 'u', 'take', 'one', 'hour', 'earlier', 'original', 'ticket', 'return', 'flight', 'week', 'later', 'included', 'checked', 'bag', 'arrive', 'heathrow', 'check', 'told', 'ticket', 'doesnt', 'included', 'bag', 'pay', 'pound', 'take', 'explained', 'original', 'ticket', 'bag', 'checked', 'system', 'confirmed', 'one', 'would', 'make', 'effort', 'sort', 'told', 'u', 'pay', 'would', 'remove', 'u', 'flight', 'choice', 'pay', 'thinking', 'pretty', 'easy', 'get', 'refund', 'month', 'email', 'later', 'still', 'seen', 'penny', 'every', 'time', 'ask', 'refund', 'state', 'long', 'waiting', 'get', 'inane', 'email', 'saying', 'department', 'take', 'longer', 'others', 'respond', 'absolutely', 'hopeless', 'airline', 'stuff', 'booking', 'first', 'place', 'even', 'worse', 'customer', 'service', 'even', 'attempt', 'solve', 'problem', 'check', 'even', 'could', 'see', 'mistake', 'made', 'system', 'compounded', 'unable', 'investigate', 'simple', 'claim', 'refund', 'pound', 'month']",positive
"['traveled', 'lisbon', 'dream', 'vacation', 'cruise', 'portugal', 'spain', 'friend', 'ever', 'get', 'luggage', 'two', 'week', 'cruise', 'two', 'week', 'without', 'change', 'clothes', 'cpap', 'machine', 'contacting', 'customer', 'service', 'nightmare', 'never', 'talked', 'real', 'person', 'little', 'effort', 'put', 'getting', 'bag', 'one', 'port', 'ship', 'bag', 'airport', 'airline', 'deliver', 'bag', 'tell', 'friend', 'needed', 'go', 'get', 'airline', 'couldnt', 'bothered', 'take', 'bag', 'airport', 'ship', 'ba', 'say', 'policy', 'get', 'bag', 'within', 'hour', 'joke', 'two', 'week', 'still', 'dont', 'back', 'home', 'u', 'last', 'heard', 'bag', 'lisbon', 'choice', 'fly', 'british', 'airway', 'customer', 'service', 'non', 'existent']",positive
"['booked', 'flight', 'bucharest', 'manchester', 'h', 'layover', 'heathrow', 'flight', 'delayed', 'bucharest', 'atc', 'strike', 'arrived', 'heathrow', 'minute', 'later', 'scheduled', 'still', 'enough', 'time', 'catch', 'connecting', 'flight', 'unfortunately', 'stranded', 'plane', 'waited', 'long', 'time', 'disembark', 'plane', 'due', 'lack', 'staff', 'slot', 'shortage', 'common', 'problem', 'ba', 'heathrow', 'missed', 'connecting', 'flight', 'delay', 'told', 'wait', 'night', 'freezing', 'airport', 'first', 'flight', 'next', 'day', 'shameful', 'food', 'voucher', 'joke', 'considering', 'ridiculous', 'price', 'lhr', 'accommodation', 'offered', 'sleep', 'cold', 'airport', 'asked', 'compensation', 'sent', 'long', 'text', 'lame', 'excuse', 'sorry', 'compensate', 'anything', 'cant', 'imagine', 'worst', 'airline', 'ba', 'regarding', 'customer', 'care', 'money', 'rather', 'way', 'treat', 'customer', 'last', 'time', 'lifetime', 'flying', 'joke', 'airline']",negative
"['booked', 'online', 'month', 'ago', 'hitch', 'replacement', 'aircraft', 'meaning', 'chosen', 'seat', 'different', 'informed', 'prior', 'departure', 'could', 'amend', 'bag', 'drop', 'man', 'wasnt', 'smooth', 'suspect', 'man', 'fault', 'shuttle', 'boarding', 'slow', 'delayed', 'meaning', 'rush', 'lhr', 'flight', 'cpt', 'full', 'left', 'le', 'time', 'cabin', 'clean', 'pe', 'expected', 'sufficient', 'leg', 'arm', 'room', 'plus', 'little', 'perk', 'drink', 'complaint', 'seat', 'actually', 'recline', 'far', 'staff', 'good', 'first', 'hour', 'service', 'especially', 'george', 'food', 'quite', 'tasty', 'one', 'option', 'wasnt', 'loaded', 'breakfast', 'also', 'quite', 'tasty', 'landed', 'time', 'fly', 'ointment', 'case', 'arrived', 'late', 'carousel', 'later', 'notice', 'broken', 'likely', 'cpt', 'pleasant', 'surprise']",positive
